NBC,,,,,,,,,,,,,,,,,,,,,,,F280,,,,,,,,,,,,,,,,,,,,,
Location,Prov,Elev (m),Latitude,Longitude,Elevation (m),January 2.5% DB (°C),January 1% DB (°C),July 2.5% DB (°C),July 2.5% WB (°C),Future July 2.5% DB (°C),Degree-Days below 18 °C,15 min. Rain (mm),"One day rain, 1/50 (mm)",Annual Rain (mm),Moist Index,Annual total precipitation (mm),"Driving rain wind pressures (Pa), 1/5","S_s Snow Load (kPa), 1/5","S_r Snow Load (kPa), 1/5","Hourly wind pressures (kPa), 1/10","Hourly wind pressures (kPa), 1/50",Climate_Zone,City,Region,DegDay,DHDBT,DCDBT,Strange,OHR,DGTEMP,JanWind,JulWind,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
100 Mile House,BC,1040,51.65,-121.28,1040,-30,-32,29,17,34,5030,10,48,300,0.4,425,60,2.6,0.3,0.27,0.35,CZ7A,100 Mile House,BC,5030,-30,29,15,7,8,10,8,-8,-4,0,5,9,13,15,15,10,5,-2,-8
Abbotsford,BC,70,49.05,-122.33,70,-8,-10,29,20,35,2860,12,112,1525,1.6,1600,160,2,0.3,0.33,0.44,CZ4,Abbotsford,BC,2860,-8,29,11,11,11,10,8,4,5,7,10,13,16,18,18,15,11,6,3
Agassiz,BC,15,49.23,-121.77,15,-9,-11,31,21,37,2750,8,128,1650,1.7,1700,160,2.4,0.7,0.35,0.47,CZ4,Agassiz,BC,2750,-9,31,10,12,11,13,12,3,5,7,11,14,16,19,19,16,11,6,4
Alberni,BC,12,49.27,-124.8,12,-5,-8,31,19,37,3100,10,144,1900,2,2000,220,2.6,0.4,0.24,0.32,CZ5,Alberni,BC,3100,-5,31,13,9,10,4,9,2,3,6,9,12,15,18,18,15,10,5,2
Ashcroft,BC,305,50.72,-121.28,305,-24,-27,34,20,39,3700,10,37,250,0.3,300,80,1.7,0.1,0.29,0.38,CZ5,Ashcroft,BC,3700,-24,34,14,9,10,5,10,-7,-2,4,10,14,18,21,20,16,9,0,-3
Bamfield,BC,20,48.83,-125.13,20,-2,-4,23,17,28,3080,13,170,2870,3,2890,280,1,0.4,0.38,0.5,CZ5,Bamfield,BC,3080,-2,23,8,10,11,14,10,5,6,6,8,11,13,14,15,14,10,7,5
Beatton River,BC,840,57.38,-121.4,840,-37,-39,26,18,31,6300,15,64,330,0.5,450,80,3.3,0.1,0.23,0.3,CZ7B,Beatton River,BC,6300,-37,26,13,10,4,4,6,-15,-10,-8,1,7,12,14,12,7,1,-8,-12
Bella Bella,BC,25,52.16,-128.14,25,-5,-7,23,18,28,3180,13,145,2715,2.8,2800,350,2.6,0.8,0.4,0.5,CZ5,Bella Bella,BC,3180,-5,23,8,11,10,15,9,3,4,4,6,10,12,14,15,13,9,5,1
Bella Coola,BC,40,52.37,-126.75,40,-14,-18,27,19,33,3560,10,140,1500,1.9,1700,350,4.5,0.8,0.29,0.39,CZ5,Bella Coola,BC,3560,-14,27,11,11,10,8,11,-1,1,5,8,12,14,17,17,13,8,3,-1
Burns Lake,BC,755,54.23,-125.75,755,-31,-34,26,17,32,5450,12,54,300,0.6,450,100,3.4,0.2,0.29,0.39,CZ7A,Burns Lake,BC,5450,-31,26,16,8,6,5,6,-11,-7,-3,3,8,12,13,12,8,3,-4,-9
Cache Creek,BC,455,50.8,-121.32,455,-24,-27,34,20,39,3700,10,37,250,0.3,300,80,1.7,0.2,0.29,0.39,CZ5,Cache Creek,BC,3700,-24,34,16,9,10,5,10,-5,-1,4,9,13,17,20,19,15,8,0,-4
Campbell River,BC,20,50.02,-125.24,20,-5,-7,26,18,32,3000,10,116,1500,1.6,1600,260,2.8,0.4,0.41,0.48,CZ5,Campbell River,BC,3000,-5,26,9,10,10,9,9,4,5,6,9,12,15,17,17,14,10,6,4
Carmi,BC,845,49.5,-119.12,845,-24,-26,31,19,36,4750,10,64,325,0.4,550,60,3.6,0.2,0.29,0.38,CZ6,Carmi,BC,4750,-24,31,19,9,10,5,6,-7,-3,1,6,10,13,16,15,11,5,-2,-7
Castlegar,BC,430,49.32,-117.67,430,-18,-20,32,20,37,3580,10,54,560,0.6,700,60,4.2,0.1,0.26,0.34,CZ5,Castlegar,BC,3580,-18,32,15,10,10,9,8,-3,0,4,9,13,17,20,20,14,8,2,-2
Chetwynd,BC,605,55.7,-121.63,605,-35,-38,27,18,33,5500,15,70,400,0.6,625,60,2.4,0.2,0.3,0.4,CZ7A,Chetwynd,BC,5500,-35,27,14,9,5,9,8,-11,-8,-2,5,10,13,15,15,10,4,-6,-9
Chilliwack,BC,10,49.17,-121.95,10,-9,-11,30,20,36,2780,8,139,1625,1.7,1700,160,2.2,0.3,0.35,0.47,CZ4,Chilliwack,BC,2780,-9,30,11,11,11,13,12,2,5,7,10,13,16,18,18,16,11,6,3
Comox,BC,15,49.68,-124.93,15,-7,-9,27,18,33,2930,10,106,1175,1.3,1200,260,2.4,0.4,0.41,0.48,CZ4,Comox,BC,3100,-7,27,8,9,10,13,12,4,4,6,9,12,15,18,18,14,10,6,4
Courtenay,BC,10,49.68,-124.98,10,-7,-9,28,18,34,2930,10,106,1400,1.5,1450,260,2.4,0.4,0.41,0.48,CZ4,Courtenay,BC,3100,-7,28,8,9,10,13,12,4,4,6,9,12,15,18,18,14,10,6,4
Cranbrook,BC,910,49.5,-115.77,910,-26,-28,32,18,37,4400,12,59,275,0.3,400,100,3,0.2,0.25,0.33,CZ6,Cranbrook,BC,4400,-26,32,13,7,9,6,11,-6,-3,2,7,11,15,19,18,13,6,-1,-7
Crescent Valley,BC,585,49.45,-117.55,585,-18,-20,31,20,36,3650,10,54,675,0.8,850,80,4.2,0.1,0.25,0.33,CZ5,Crescent Valley,BC,3650,-18,31,17,10,10,9,8,-4,-1,4,8,13,16,19,19,14,8,1,-3
Crofton,BC,5,48.87,-123.65,5,-4,-6,28,19,34,2880,8,86,925,1.1,950,160,1.8,0.2,0.32,0.4,CZ4,Crofton,BC,2880,-4,28,13,10,11,8,10,2,4,5,8,12,14,18,18,15,10,6,4
Dawson Creek,BC,665,55.77,-120.23,665,-38,-40,27,18,32,5900,18,75,325,0.5,475,100,2.5,0.2,0.3,0.4,CZ7A,Dawson Creek,BC,5900,-38,27,13,9,5,10,10,-15,-11,-5,4,9,13,15,14,10,4,-7,-12
Dease Lake,BC,800,58.44,-130,800,-37,-40,24,15,29,6730,10,45,265,0.6,425,50,2.8,0.1,0.23,0.3,CZ7B,Dease Lake,BC,6730,-37,24,11,7,4,7,7,-14,-12,-5,1,7,11,13,11,7,0,-10,-14
Dog Creek,BC,450,51.58,-122.3,450,-28,-30,29,17,34,4800,10,48,275,0.4,375,100,1.8,0.2,0.27,0.35,CZ6,Dog Creek,BC,4800,-28,29,16,7,6,10,8,-9,-4,0,7,10,14,17,16,14,6,-3,-5
Duncan,BC,10,48.78,-123.7,10,-6,-8,28,19,33,2980,8,103,1000,1.1,1050,180,1.8,0.4,0.31,0.39,CZ4,Duncan,BC,2980,-6,28,14,10,10,4,9,3,4,6,8,12,15,17,17,14,9,5,3
Elko,BC,1065,49.3,-115.12,1065,-28,-31,30,19,35,4600,13,64,440,0.5,650,100,3.6,0.2,0.3,0.4,CZ6,Elko,BC,4600,-28,30,14,9,9,10,8,-7,-3,1,6,11,15,18,18,13,6,-1,-6
Fernie,BC,1010,49.5,-115.07,1010,-27,-30,30,19,35,4750,13,118,860,0.9,1175,100,4.5,0.2,0.3,0.4,CZ6,Fernie,BC,4750,-27,30,15,9,8,10,8,-7,-4,0,5,10,13,16,16,11,5,-1,-6
Fort Nelson,BC,465,58.83,-122.7,465,-39,-42,28,18,32,6710,15,70,325,0.6,450,80,2.4,0.1,0.23,0.3,CZ7B,Fort Nelson,BC,6710,-39,28,12,9,4,4,7,-21,-15,-8,3,10,15,17,15,9,0,-13,-18
Fort St. John,BC,685,56.25,-120.85,685,-35,-37,26,18,31,5750,15,72,320,0.5,475,100,2.8,0.1,0.29,0.39,CZ7A,Fort St. John,BC,5750,-35,26,10,10,5,14,12,-13,-9,-5,4,10,14,16,15,10,3,-7,-10
Glacier,BC,1145,51.27,-117.52,1145,-27,-30,27,17,33,5800,10,70,625,0.8,1500,80,9.4,0.2,0.24,0.32,CZ7A,Glacier,BC,5800,-27,27,12,8,8,10,8,-10,-7,-2,2,6,10,13,13,8,2,-5,-9
Golden,BC,790,51.3,-116.97,790,-27,-30,30,17,36,4750,10,55,325,0.6,500,100,3.7,0.2,0.26,0.35,CZ6,Golden,BC,4750,-27,30,14,7,8,3,5,-10,-5,0,6,11,15,17,17,11,5,-2,-8
Gold River,BC,120,49.78,-126.05,120,-8,-11,31,18,37,3230,13,200,2730,2.8,2850,250,2.8,0.6,0.24,0.32,CZ5,Gold River,BC,3230,-8,31,13,8,11,4,9,1,3,5,8,12,15,18,18,15,9,4,2
Grand Forks,BC,565,49.03,-118.45,565,-19,-22,34,20,39,3820,10,48,390,0.5,475,80,2.8,0.1,0.3,0.4,CZ5,Grand Forks,BC,3820,-19,34,16,9,10,9,8,-5,-1,4,9,13,16,20,19,14,7,1,-4
