Station_Name,Latitude,Longitude,URL,CDD10,solar,Tdb,Twb,HDD18
Abee AgDM,54.28,-112.97,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Abee.AgDM.712850_CWEC2020.zip,678,225,26,19,5905
Andrew AgDM,53.92,-112.28,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Andrew.AgDM.712860_CWEC2020.zip,746,224,27,20,5858
Atmore AgDM,54.78,-112.82,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Atmore.AgDM.712870_CWEC2020.zip,693,220,27,18,5836
Banff CS,51.19,-115.55,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Banff.CS.711220_CWEC2020.zip,540,182,28,16,5661
Barnwell AgDM,49.8,-112.3,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Barnwell.AgDM.713460_CWEC2020.zip,978,262,31,19,4537
Barrhead CS,54.09,-114.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Barrhead.CS.710610_CWEC2020.zip,750,221,26,18,5689
Beaverlodge RCS,55.2,-119.4,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Beaverlodge.RCS.712300_CWEC2020.zip,611,203,26,15,5629
Blood Tribe AgDM,49.57,-113.05,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Blood.Tribe.AgDM.715170_CWEC2020.zip,876,249,30,19,4742
Bodo AgDM,52.12,-110.1,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bodo.AgDM.712140_CWEC2020.zip,868,239,28,20,5368
Bow Island Irrigation AgDM,49.87,-111.38,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bow.Island.Irrigation.AgDM.715190_CWEC2020.zip,1030,253,32,19,4637
Bow Island,49.73,-111.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bow.Island.712310_CWEC2020.zip,1031,264,31,20,4626
Bow Valley,51.08,-115.07,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bow.Valley.712320_CWEC2020.zip,648,213,28,17,5145
Breton Plots,53.09,-114.44,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Breton.Plots.712330_CWEC2020.zip,715,223,28,18,5188
Brocket AgDM,49.62,-113.82,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Brocket.AgDM.713410_CWEC2020.zip,847,261,30,17,4566
Brooks,50.56,-111.85,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Brooks.714570_CWEC2020.zip,1023,249,31,20,4919
