#,Name,a1,b1,cc1,d1,e1,f1,g1,h1,i1,j1,q2,rr2,u2,v2,w2,x2,s2,t2,y2,a2,b2,cc2,d2,e2,f2,g2,h2,a3,b3,cc3,e3,f3,g3,h3,i3,a4,b4,cc4,CCF,iUnInsul,WalkSlab,iFndFlag_1,iFndFlag_2,iFndFlag_3,iFndFlag_4,iFndFlag_5,iFndFlag_6,iFndFlag_7,iFndFlag_8
1,BCIN_1,0.0214,0.706,0.102,0.704,1,1,1,1,0,0,0.291,0.318,0.229,0.62,0.711,0.5,-0.055,0.0235,0.179,0.749,0.712,0.452,0.263,3,-0.0353,-1.011,0,0.258,0.317,-0.188,0.00676,0.11,0.219,0.769,0,2.415,0.488,0.259,3,10,28,0,0,0,0,0,1,0,0
2,BCIN_2,0.0225,0.698,0.117,0.643,1,1,1,1,0,0,0.439,0.281,0.266,0.62,0.826,0.5,-0.072,0.023,0.178,0.706,0.865,0.533,0.358,3.486,-0.0647,-1.211,0,0.439,0.377,-0.278,-0.0457,0.104,0.227,0.756,0,2.645,0.284,0.325,3,10,28,0,0,0,0,0,1,0,0
3,BCIN_3,-0.102,0.735,0.133,0.764,1,1,1,1,0,0.0952,1.253,0.546,0.256,0.62,0.177,0.5,-0.0617,0.0219,0.187,0.104,1.35,0.765,-0.233,0.769,-0.013,-0.283,0,-0.218,0.609,0.27,0.18,0.0646,-0.0306,0.812,0,2.978,-0.00852,-0.0266,2,9,29,1,0,1,0,0,1,0,0
4,BCIN_4,-0.107,0.756,0.12,0.727,1,1,1,1,0,0.0808,1.217,0.533,0.26,0.62,0.184,0.5,-0.0729,0.0221,0.188,0.111,1.446,0.763,-0.18,0.81,-0.0141,-0.297,0,-0.216,0.608,0.273,0.182,0.0649,-0.0295,0.811,0,3.052,-0.0928,-0.135,2,10,28,0,0,1,0,0,1,0,0
5,BCEN_1,-0.0835,0.749,0.00334,0.885,1,1,1,1,0,0.357,0.312,0.349,0.186,0.62,0.678,0.5,-0.036,0.0232,0.184,0.824,0.722,0.358,0.271,2.917,-0.0613,-0.967,0,0.136,0.33,-0.181,0.0434,0.0828,0.246,0.728,0,1.574,1.302,0.108,5,9,31,1,1,0,0,0,0,1,0
6,BCEN_2,-0.0376,0.765,0.00176,0.888,1,1,1,1,0,0.12,0.313,0.35,0.187,0.62,0.675,0.5,-0.0364,0.0232,0.184,0.821,0.731,0.354,0.263,2.888,-0.0608,-0.953,0,0.137,0.33,-0.182,0.0399,0.0833,0.255,0.727,0,1.508,1.371,0.103,5,10,30,0,1,0,0,0,0,1,0
7,BCEN_3,0.202,2.921,0.00411,-0.00289,1,1,1,1,0,0,0.439,0.268,0.353,0.62,0.781,0.5,-0.0703,0.0231,0.17,0.643,0.878,0.391,0.266,3.079,-0.0819,-0.996,0,0.728,0.318,-0.349,-0.0781,0.0772,0.299,0.654,0,2.866,0.116,0.411,4,9,31,1,1,0,0,0,0,1,0
8,BCEN_4,0.128,2.951,0.00396,-0.00284,1,1,1,1,0,0,0.443,0.268,0.355,0.62,0.777,0.5,-0.0698,0.0231,0.169,0.631,0.89,0.386,0.258,3.021,-0.0713,-0.98,0,0.726,0.317,-0.342,-0.0795,0.0775,0.301,0.653,0,2.874,0.109,0.426,4,10,30,0,1,0,0,0,0,1,0
9,BCNN_1,0.00134,2.936,0.0957,0,1,1,1,1,0,0,1.302,0.279,0.344,0.62,0.69,0.5,-0.0347,0.0203,0.086,0,0,0,0,0,0,0,0,0.459,0.829,0.174,0,0,0,0,0,3.064,0,0,1,0,29,1,0,0,0,0,0,0,0
10,BCNN_2,-0.0505,2.959,0.083,0,1,1,1,1,0,0,1.309,0.279,0.348,0.62,0.686,0.5,-0.0342,0.0202,0.085,0,0,0,0,0,0,0,0,0.453,0.83,0.186,0,0,0,0,0,3.065,0,0,1,0,28,0,0,0,0,0,0,0,0
