Seq,City,Region,DegDay,DHDBT,DHWBT,Strange,OHR,DGTEMP,JanWind,JulWind,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Athabasca,AB,6000,-35,27,12,11,5,10,10,-15,-11,-4,4,11,14,16,15,10,4,-6,-13
2,Banff,AB,5500,-31,27,14,7,5,10,8,-9,-7,-3,3,7,11,15,14,9,3,-4,-9
3,Barrhead,AB,5740,-33,27,12,11,5,8,9,-11,-11,-6,1,11,13,17,13,12,5,-3,-10
4,Beaverlodge,AB,5700,-36,28,12,9,5,10,12,-13,-10,-4,4,10,13,15,14,10,4,-6,-11
5,Brooks,AB,4880,-32,32,14,10,7,13,12,-11,-7,-2,6,11,16,19,18,13,6,-2,-7
6,Calgary,AB,5000,-30,28,12,8,6,15,14,-7,-5,-2,5,10,14,16,16,11,5,-3,-6
7,Campsie,AB,5750,-33,27,14,11,5,10,12,-14,-11,-4,4,10,14,16,15,10,4,-6,-12
8,Camrose,AB,5500,-33,29,13,10,5,11,12,-14,-10,-6,4,10,14,17,15,10,3,-5,-10
9,Canmore,AB,5400,-31,28,14,8,6,10,8,-10,-7,-3,3,7,11,15,14,9,3,-4,-9
10,Cardston,AB,4700,-29,30,13,9,7,13,11,-5,-3,-1,5,10,14,18,17,12,6,0,-3
11,Claresholm,AB,4680,-30,30,15,8,6,13,12,-8,-4,-2,5,10,14,18,17,12,6,-1,-5
12,Cold Lake,AB,5860,-35,28,11,10,4,9,11,-16,-12,-5,4,10,15,17,16,10,3,-7,-13
13,Coleman,AB,5210,-31,29,15,8,7,14,10,-8,-5,-1,3,8,12,14,14,10,5,-3,-7
14,Coronation,AB,5640,-32,30,13,9,5,17,15,-14,-12,-5,4,10,14,17,16,10,4,-7,-12
15,Cowley,AB,4810,-29,29,15,8,6,26,18,-10,-6,-2,3,9,13,16,16,10,5,-2,-6
16,Drumheller,AB,5050,-32,30,14,8,5,7,10,-13,-8,-3,6,11,16,19,18,13,5,-3,-9
17,Edmonton,AB,5120,-30,28,10,10,5,11,12,-11,-8,-3,5,11,15,18,17,11,5,-4,-9
18,Edson,AB,5750,-34,27,13,9,5,7,8,-11,-8,-4,3,8,13,15,14,9,3,-6,-10
19,Embarras Portage,AB,7100,-41,28,11,10,3,10,12,-22,-17,-9,1,9,14,17,15,9,1,-10,-19
20,Fairview,AB,5840,-37,27,11,9,4,10,10,-14,-11,-5,4,11,14,16,15,10,4,-7,-12
21,Fort MacLeod,AB,4600,-30,31,15,9,8,21,16,-7,-4,0,6,11,15,18,17,12,7,-1,-6
22,Fort McMurray,AB,6250,-38,28,12,10,4,8,9,-18,-13,-6,3,10,15,17,15,10,2,-9,-15
23,Fort Saskatchewan,AB,5420,-32,28,13,10,5,13,12,-13,-10,-4,5,11,15,17,16,11,5,-6,-12
24,Fort Vermilion,AB,6700,-41,28,12,9,4,8,6,-22,-17,-10,2,11,15,17,15,9,2,-10,-20
25,Grande Prairie,AB,5790,-36,27,12,9,5,9,12,-14,-11,-5,4,10,14,16,15,10,4,-7,-11
26,Habay,AB,6750,-41,28,13,9,4,8,6,-26,-20,-14,2,11,14,15,14,7,2,-13,-18
27,Hardisty,AB,5640,-33,30,13,9,5,12,13,-17,-12,-7,3,11,15,16,17,9,5,-6,-13
28,High River,AB,4900,-31,28,15,8,6,17,15,-8,-6,-2,4,9,13,15,15,10,5,-2,-7
29,Hinton,AB,5500,-34,27,15,8,6,9,8,-12,-8,-4,3,8,11,14,13,9,4,-6,-8
30,Jasper,AB,5300,-31,28,12,8,6,9,8,-8,-5,-1,4,9,13,15,14,10,4,-4,-9
31,Keg River,AB,6520,-40,28,15,9,4,9,10,-19,-14,-7,3,9,14,15,14,9,1,-12,-16
32,Lac la Biche,AB,6100,-35,28,12,10,4,7,9,-16,-11,-6,3,10,14,17,16,11,4,-6,-13
33,Lacombe,AB,5500,-33,28,13,10,5,10,11,-13,-9,-5,4,9,13,16,15,10,4,-5,-9
34,Lethbridge,AB,4500,-30,31,14,9,8,20,15,-6,-4,0,6,11,15,18,18,13,7,-1,-5
35,Manning,AB,6300,-39,27,11,9,4,10,11,-18,-13,-7,3,10,14,16,15,10,2,-9,-14
36,Medicine Hat,AB,4540,-31,32,13,8,8,14,13,-9,-5,0,7,12,17,20,19,13,7,-2,-7
37,Peace River,AB,6050,-37,27,12,9,4,12,12,-15,-12,-6,4,10,14,16,15,10,3,-8,-12
38,Pincher Creek,AB,4740,-29,29,13,8,6,26,18,-6,-3,-2,4,9,13,17,17,12,6,-1,-4
39,Ranfurly,AB,5700,-34,29,12,10,5,12,12,-14,-12,-6,4,11,15,17,16,10,5,-6,-13
40,Red Deer,AB,5550,-32,28,13,10,5,12,12,-12,-9,-4,4,10,14,16,15,10,4,-5,-10
41,Rocky Mountain House,AB,5640,-32,27,13,9,5,7,8,-12,-9,-5,3,8,12,15,14,9,3,-6,-10
42,Slave Lake,AB,5850,-35,26,11,11,4,15,12,-13,-10,-5,3,9,14,16,15,10,3,-6,-12
43,Stettler,AB,5300,-32,30,14,9,5,16,13,-13,-9,-3,5,10,14,16,16,11,5,-5,-11
44,Stony Plain,AB,5300,-32,28,11,10,5,11,10,-12,-8,-3,5,11,15,16,16,11,5,-4,-10
45,Suffield,AB,4770,-31,32,15,10,8,18,18,-11,-7,-1,6,12,16,19,19,13,7,-3,-9
46,Taber,AB,4580,-31,31,15,9,8,19,13,-9,-4,-1,6,12,16,19,18,13,7,-1,-6
47,Turner Valley,AB,5220,-31,28,15,8,5,17,15,-10,-7,-3,2,7,11,13,13,9,4,-3,-9
48,Valleyview,AB,5600,-37,27,13,9,4,15,13,-13,-9,-2,5,10,14,16,15,10,5,-4,-11
49,Vegreville,AB,5780,-34,29,13,10,5,12,13,-15,-11,-6,4,10,14,17,15,10,3,-6,-11
50,Vermilion,AB,5740,-35,29,13,10,5,12,12,-18,-14,-7,4,11,15,16,15,10,4,-5,-14
51,Wagner,AB,5850,-35,26,12,11,4,15,12,-13,-10,-5,3,9,14,16,15,10,3,-6,-12
52,Wainwright,AB,5700,-33,29,12,10,5,12,13,-14,-9,-6,5,10,15,18,17,11,4,-4,-11
53,Wetaskiwin,AB,5500,-33,29,13,10,5,10,11,-15,-11,-6,3,11,15,16,16,9,5,-6,-12
54,Whitecourt,AB,5650,-33,27,12,11,5,7,8,-12,-8,-3,4,10,14,16,14,9,4,-7,-11
55,Wimborne,AB,5310,-31,29,13,8,5,15,14,-13,-9,-6,2,10,14,16,15,10,4,-5,-9
56,100 Mile House,BC,5030,-30,29,15,7,8,10,8,-8,-4,0,5,9,13,15,15,10,5,-2,-8
57,Abbotsford,BC,2860,-8,29,11,11,11,10,8,4,5,7,10,13,16,18,18,15,11,6,3
58,Agassiz,BC,2750,-9,31,10,12,11,13,12,3,5,7,11,14,16,19,19,16,11,6,4
59,Alberni,BC,3100,-5,31,13,9,10,4,9,2,3,6,9,12,15,18,18,15,10,5,2
60,Ashcroft,BC,3700,-24,34,14,9,10,5,10,-7,-2,4,10,14,18,21,20,16,9,0,-3
61,Bamfield,BC,3080,-2,23,8,10,11,14,10,5,6,6,8,11,13,14,15,14,10,7,5
62,Beatton River,BC,6300,-37,26,13,10,4,4,6,-15,-10,-8,1,7,12,14,12,7,1,-8,-12
63,Bella Bella,BC,3180,-5,23,8,11,10,15,9,3,4,4,6,10,12,14,15,13,9,5,1
64,Bella Coola,BC,3560,-14,27,11,11,10,8,11,-1,1,5,8,12,14,17,17,13,8,3,-1
65,Burnaby (Simon Fraser Univ.),BC,3100,-7,25,7,9,11,12,11,3,4,6,9,12,14,17,17,15,10,5,3
66,Burns Lake,BC,5450,-31,26,16,8,6,5,6,-11,-7,-3,3,8,12,13,12,8,3,-4,-9
67,Cache Creek,BC,3700,-24,34,16,9,10,5,10,-5,-1,4,9,13,17,20,19,15,8,0,-4
68,Campbell River,BC,3000,-5,26,9,10,10,9,9,4,5,6,9,12,15,17,17,14,10,6,4
69,Carmi,BC,4750,-24,31,19,9,10,5,6,-7,-3,1,6,10,13,16,15,11,5,-2,-7
70,Castlegar,BC,3580,-18,32,15,10,10,9,8,-3,0,4,9,13,17,20,20,14,8,2,-2
